"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 동대문구 답십리제2동(1123061000)","27,513","27,513","1,581","1,717","3,190","4,245","3,783","4,592","4,456","2,518","1,284","146","1"
"서울특별시 동대문구 장안제1동(1123065000)","37,386","37,386","2,114","2,487","4,899","5,923","6,112","5,771","5,573","3,131","1,231","137","8"
"서울특별시 동대문구 장안제2동(1123066000)","32,692","32,692","2,486","2,850","3,699","4,770","5,789","5,029","4,494","2,469","982","121","3"
"서울특별시 동대문구 청량리동(1123070500)","18,742","18,742","618","926","2,237","2,157","2,159","3,066","3,788","2,388","1,212","188","3"
"서울특별시 동대문구 회기동(1123071000)","10,394","10,394","311","700","3,472","1,468","1,160","1,223","971","630","403","54","2"
"서울특별시 동대문구 휘경제1동(1123072000)","13,712","13,712","662","763","3,690","2,080","1,616","1,888","1,506","937","501","67","2"
"서울특별시 동대문구 휘경제2동(1123073000)","24,164","24,164","935","1,876","5,843","3,024","3,127","3,560","2,975","1,861","863","97","3"
"서울특별시 동대문구 이문제1동(1123074000)","17,764","17,764","569","1,128","5,156","2,038","1,979","2,489","2,087","1,379","852","83","4"
"서울특별시 동대문구 이문제2동(1123075000)","19,400","19,400","1,001","1,577","2,651","2,325","2,760","3,345","2,870","1,878","903","88","2"
"서울특별시 중랑구 (1126000000)","382,155","382,155","19,114","23,960","50,042","57,817","53,139","64,730","63,318","33,269","14,880","1,833","53"
"서울특별시 중랑구 면목제2동(1126052000)","23,603","23,603","945","1,336","2,926","3,421","3,214","4,446","4,113","2,122","957","121","2"
"서울특별시 중랑구 면목제4동(1126054000)","18,155","18,155","848","1,097","2,217","2,467","2,640","3,205","2,960","1,874","770","74","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,598","14,598","1,313","855","1,506","2,471","2,380","2,366","2,147","1,051","460","47","2"
"서울특별시 중랑구 면목본동(1126056500)","32,791","32,791","1,225","1,594","4,788","5,323","4,457","5,870","5,273","2,860","1,256","143","2"
"서울특별시 중랑구 면목제7동(1126057000)","21,225","21,225","1,027","1,069","2,686","3,292","2,860","3,605","3,723","2,023","827","111","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,392","24,392","909","1,233","3,312","3,572","3,173","4,358","4,375","2,328","1,011","119","2"
"서울특별시 중랑구 상봉제1동(1126058000)","23,194","23,194","1,483","1,752","2,917","3,373","3,267","3,953","3,807","1,734","810","96","2"
