사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
Dec-23,과천선,1452,대공원,58771 ,60719 ,27894 ,29357 ,2024-01-03 9:18
Dec-23,과천선,1453,과천,147015 ,133964 ,48446 ,45905 ,2024-01-03 9:18
Dec-23,과천선,1454,정부과천청사,262235 ,271512 ,57741 ,56993 ,2024-01-03 9:18
Dec-23,과천선,1455,인덕원,600449 ,610780 ,127296 ,131030 ,2024-01-03 9:18
Dec-23,과천선,1456,평촌,426586 ,411364 ,72227 ,71581 ,2024-01-03 9:18
Dec-23,과천선,1457,범계,685165 ,685751 ,123804 ,121598 ,2024-01-03 9:18
Dec-23,분당선,1023,선릉,305630 ,479432 ,47970 ,65030 ,2024-01-03 9:18
Dec-23,분당선,1024,한티,373578 ,391634 ,72975 ,74607 ,2024-01-03 9:18
Dec-23,분당선,1025,도곡,166626 ,159635 ,57916 ,53263 ,2024-01-03 9:18
Dec-23,분당선,1026,구룡,62532 ,60692 ,22950 ,23150 ,2024-01-03 9:18
Dec-23,분당선,1027,개포동,105620 ,106374 ,34689 ,35821 ,2024-01-03 9:18
Dec-23,분당선,1028,대모산입구,136669 ,125170 ,38950 ,38393 ,2024-01-03 9:18
Dec-23,분당선,1030,수서,364841 ,377076 ,73430 ,75732 ,2024-01-03 9:18
Dec-23,분당선,1031,복정,28 ,0 ,3 ,0 ,2024-01-03 9:18
Dec-23,분당선,1846,수원,219565 ,196000 ,34849 ,30923 ,2024-01-03 9:18
Dec-23,분당선,1847,서울숲,322732 ,336347 ,29591 ,29180 ,2024-01-03 9:18
Dec-23,분당선,1848,압구정로데오,555616 ,637724 ,49824 ,48250 ,2024-01-03 9:18
Dec-23,분당선,1849,강남구청,228413 ,265034 ,40518 ,43811 ,2024-01-03 9:18
Dec-23,분당선,1850,선정릉,176562 ,185081 ,33161 ,32332 ,2024-01-03 9:18
Dec-23,분당선,1851,가천대,244296 ,255051 ,28554 ,29443 ,2024-01-03 9:18
Dec-23,분당선,1852,태평,304098 ,280377 ,96336 ,99411 ,2024-01-03 9:18
Dec-23,분당선,1853,모란,435593 ,434174 ,170440 ,185035 ,2024-01-03 9:18
Dec-23,분당선,1854,야탑,591869 ,628675 ,165112 ,167594 ,2024-01-03 9:18
Dec-23,분당선,1855,서현,601703 ,616112 ,136884 ,132397 ,2024-01-03 9:18
Dec-23,분당선,1856,수내,320105 ,318538 ,79043 ,77768 ,2024-01-03 9:18
Dec-23,분당선,1857,정자,440739 ,459932 ,72140 ,73107 ,2024-01-03 9:18
Dec-23,분당선,1858,미금,329094 ,345932 ,109861 ,115872 ,2024-01-03 9:18
